Player,Pos,Role,Guard,Wing,Big,Team_Signed_With,Age_At_Signing,Age_At_Start,Age_At_End,Median_Age,Peak_Age_Range,Far_From_Peak,Start,End,Yrs,C_Over,Value,AAV,Type,Max_Contract,Signed_Date,Contract Period,Avg_Salary_Cap,Avg_Luxury_Tax,Avg_1st_Apron,Avg_2nd_Apron,AAV / Salary Cap,AAV / Luxury Tax,AAV / 1st Apron,AAV / 2nd Apron,GP_2Y_Before,GP_1Y_Before,Avg_GP_Before,W_Avg_GP_Before,MPG_2Y_Before,MPG_1Y_Before,Avg_MPG_Before,W_Avg_MPG_Before,W_Avg_Min_Before,USG_2Y_Before,USG_1Y_Before,Avg_USG_Before,W_Avg_USG_Before,EPM_2Y_Before,EPM_1Y_Before,Avg_EPM_Before,W_Avg_EPM_Before,Z-Score_W_Avg_EPM,Age_Adj_EPM_Before,Change_EPM_Before,EPM_1Y_After,EPM_2Y_After,EPM_3Y_After,EPM_4Y_After,EPM_5Y_After,EW_2Y_Before,EW_1Y_Before,Avg_EW_Before,W_Avg_EW_Before,Z-Score_W_Avg_EW,Age_Adj_EW_Before,Change_EW_Before,EW_1Y_After,EW_2Y_After,EW_3Y_After,EW_4Y_After,EW_5Y_After
Isaiah Thomas,PG,1,1,,,SAC,24,25,28,26.5,1,2.5,2014,2017,4,1,"$27,000,002.00","$6,750,001.00",sign-and-trade,0,,2014-2017.0,"$81,575,250.00","$98,530,500.00","$103,030,500.00",,8.27%,6.85%,6.55%,,79,72,75.5,73.75,26.8,34.6806,30.7403,32.71045,2412.395688,22.300%,25.188%,23.744%,24.466%,1.5,4.09008,2.79504,3.44256,1.770213565,2.170213565,2.59008,1.68027,2.53492,5.26905,-3.29634,,4,12.0603,8.03015,10.045225,2.278611804,2.678611804,8.0603,5.48242,9.94955,14.4862,-0.204715,
Dirk Nowitzki,PF,2.5,,0.5,0.5,DAL,35,36,38,37,0,8,2014,2016,3,1,"$25,000,000.00","$8,333,333.00",Free Agent,0,,2014-2016.0,"$75,736,000.00","$91,618,666.67","$95,618,666.67",,11.00%,9.10%,8.72%,,53,80,66.5,73.25,31.3,32.85,32.075,32.4625,2377.878125,24.100%,26.077%,25.089%,25.583%,2,4.4779,3.23895,3.858425,1.945007412,1.245007412,2.4779,1.46651,3.41025,0.792801,,,2.6,13.3912,7.9956,10.6934,2.477614931,1.777614931,10.7912,6.91278,10.312,3.65689,,
Spencer Hawes,PF,2.5,,0.5,0.5,LAC,25,26,29,27.5,1,1.5,2014,2017,4,1,"$22,652,350.00","$5,663,088.00",Free Agent,0,,2014-2017.0,"$81,575,250.00","$98,530,500.00","$103,030,500.00",,6.94%,5.75%,5.50%,,82,80,81,80.5,27.2,30.8625,29.03125,29.946875,2410.723438,20.400%,19.490%,19.945%,19.717%,-0.5,0.501453,0.0007265,0.25108975,0.4287941983,0.7287941983,1.001453,-3.33795,-1.68505,-3.46337,,,2.2,5.84694,4.02347,4.935205,0.7097300015,1.009730001,3.64694,-0.339064,0.898023,-0.280671,,
Josh McRoberts,PF,2.5,,0.5,0.5,MIA,26,27,30,28.5,1,0.5,2014,2017,4,1,"$22,652,350.00","$5,663,088.00",Free Agent,0,,2014-2017.0,"$81,575,250.00","$98,530,500.00","$103,030,500.00",,6.94%,5.75%,5.50%,,67,78,72.5,75.25,22.2,30.2564,26.2282,28.2423,2125.233075,13.600%,13.567%,13.584%,13.575%,-1.7,1.73685,0.018425,0.8776375,0.6921409382,0.8921409382,3.43685,-1.05097,-2.13988,-3.56117,,,0.6,7.58771,4.093855,5.8407825,0.987761019,1.187761019,6.98771,0.385465,0.330498,-0.159824,,
Pau Gasol,C,3,,,1,CHI,33,34,36,35,0,6,2014,2016,3,1,"$22,346,280.00","$7,448,760.00",Free Agent,0,,2014-2016.0,"$75,736,000.00","$91,618,666.67","$95,618,666.67",,9.84%,8.13%,7.79%,,49,60,54.5,57.25,33.8,31.4,32.6,32,1832,20.100%,26.072%,23.086%,24.579%,0,-1.11666,-0.55833,-0.837495,-0.02875312357,-0.5287531236,-1.11666,1.8494,3.97526,1.69771,,,2.5,2.36975,2.434875,2.4023125,-0.06792036987,-0.5679203699,-0.13025,8.82587,10.8857,5.18627,,
Nick Young,SG,1,1,,,LAL,28,29,32,30.5,1,1.5,2014,2017,4,1,"$21,326,174.00","$5,331,544.00",Free Agent,0,,2014-2017.0,"$81,575,250.00","$98,530,500.00","$103,030,500.00",,6.54%,5.41%,5.17%,,59,64,61.5,62.75,23.9,28.2656,26.0828,27.1742,1705.18105,20.400%,26.092%,23.246%,24.669%,-1.6,-0.155643,-0.8778215,-0.51673225,0.1060679248,0.1060679248,1.444357,-1.89241,-3.53441,1.75537,-2.21004,,1.1,3.46859,2.284295,2.8764425,0.07764734394,0.07764734394,2.36859,0.725614,-0.414274,5.02332,0.707172,
Luol Deng,SF,2,,1,,MIA,28,29,30,29.5,1,0.5,2014,2015,2,1,"$19,866,073.00","$9,933,037.00",Free Agent,0,,2014-2015.0,"$66,532,500.00","$80,784,500.00","$84,784,500.00",,14.93%,12.30%,11.72%,,75,63,69,66,38.7,35.1111,36.90555,36.008325,2376.54945,21.300%,21.920%,21.610%,21.765%,0.8,0.839747,0.8198735,0.82981025,0.6720384793,0.6720384793,0.039747,1.18578,0.436738,,,,5.1,5.75226,5.42613,5.589195,0.9105184543,0.9105184543,0.65226,6.86735,5.56171,,,
Jodie Meeks,SG,1,1,,,DET,26,27,29,28,1,1,2014,2016,3,1,"$18,810,000.00","$6,270,000.00",Free Agent,0,,2014-2016.0,"$75,736,000.00","$91,618,666.67","$95,618,666.67",,8.28%,6.84%,6.56%,,78,77,77.5,77.25,21.3,33.1948,27.2474,30.2211,2334.579975,16.200%,18.436%,17.318%,17.877%,-0.7,-0.409045,-0.5545225,-0.48178375,0.1207572658,0.3207572658,0.290955,-2.11498,,-0.773689,,,1.4,4.45525,2.927625,3.6914375,0.327867661,0.527867661,3.05525,0.837658,,1.10119,,
Patrick Patterson,PF,2,,1,,TOR,24,25,27,26,1,3,2014,2016,3,1,"$18,150,001.00","$6,050,000.00",Free Agent,0,,2014-2016.0,"$75,736,000.00","$91,618,666.67","$95,618,666.67",,7.99%,6.60%,6.33%,,71,65,68,66.5,25,23.5692,24.2846,23.9269,1591.13885,17.300%,16.907%,17.104%,17.005%,0,1.18744,0.59372,0.89058,0.6975808511,1.097580851,1.18744,0.823307,0.176011,1.09438,,,2.5,4.34937,3.424685,3.8870275,0.3879178353,0.7879178353,1.84937,5.58145,4.33069,4.43493,,
Lance Stephenson,SG,1.5,0.5,0.5,,IND,23,24,25,24.5,0,4.5,2014,2015,2,1,"$18,000,000.00","$9,000,000.00",Free Agent,0,,2014-2015.0,"$66,532,500.00","$80,784,500.00","$84,784,500.00",,13.53%,11.14%,10.62%,,78,78,78,78,29.2,35.2821,32.24105,33.761575,2633.40285,15.000%,19.132%,17.066%,18.099%,1.2,0.83991,1.019955,0.9299325,0.7141212545,1.214121255,-0.36009,-4.51368,-2.64487,,,,4.4,7.15487,5.777435,6.4661525,1.17976254,1.67976254,2.75487,-1.68752,0.287249,,,
