Player,Pos,Role,Guard,Wing,Big,Team_Signed_With,Age_At_Signing,Age_At_Start,Age_At_End,Median_Age,Peak_Age_Range,Far_From_Peak,Start,End,Yrs,C_Over,Value,AAV,Type,Max_Contract,Signed_Date,Contract Period,Avg_Salary_Cap,Avg_Luxury_Tax,Avg_1st_Apron,Avg_2nd_Apron,AAV / Salary Cap,AAV / Luxury Tax,AAV / 1st Apron,AAV / 2nd Apron,GP_2Y_Before,GP_1Y_Before,Avg_GP_Before,W_Avg_GP_Before,MPG_2Y_Before,MPG_1Y_Before,Avg_MPG_Before,W_Avg_MPG_Before,W_Avg_Min_Before,USG_2Y_Before,USG_1Y_Before,Avg_USG_Before,W_Avg_USG_Before,EPM_2Y_Before,EPM_1Y_Before,Avg_EPM_Before,W_Avg_EPM_Before,Z-Score_W_Avg_EPM,Age_Adj_EPM_Before,Change_EPM_Before,EPM_1Y_After,EPM_2Y_After,EPM_3Y_After,EPM_4Y_After,EPM_5Y_After,EW_2Y_Before,EW_1Y_Before,Avg_EW_Before,W_Avg_EW_Before,Z-Score_W_Avg_EW,Age_Adj_EW_Before,Change_EW_Before,EW_1Y_After,EW_2Y_After,EW_3Y_After,EW_4Y_After,EW_5Y_After
Damien Wilkins,SG,1,1,,,IND,36,37,37,37,0,8,2017,2017,1,1,"$2,116,955.00","$2,116,955.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,2.14%,1.77%,1.69%,,,,,,,,,,,,,,,,,,,,,,-4.73987,,,,,,,,,,,,-0.187138,,,,
JaVale McGee,C,3,,,1,GSW,28,29,29,29,1,0,2017,2017,1,1,"$2,116,955.00","$2,116,955.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,2.14%,1.77%,1.69%,,34,77,55.5,66.25,10.8529,9.5974,10.22515,9.911275,656.6219688,20.773%,21.706%,21.240%,21.473%,-3.04571,1.74643,-0.64964,0.548395,0.5537557329,0.5537557329,4.79214,1.92917,,,,,-0.0242802,2.38181,1.1787649,1.78028745,-0.2588949221,-0.2588949221,2.4060902,2.05974,,,,
Marreese Speights,PF,2,,1,,ORL,29,30,30,30,1,1,2017,2017,1,1,"$2,116,955.00","$2,116,955.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,2.14%,1.77%,1.69%,,72,82,77,79.5,11.5556,15.6707,13.61315,14.641925,1164.033038,29.315%,23.297%,26.306%,24.801%,-2.33188,-0.59852,-1.4652,-1.03186,-0.1104474383,-0.2104474383,1.73336,1.06031,,,,,0.352964,2.07412,1.213542,1.643831,-0.3007898738,-0.4007898738,1.721156,1.85686,,,,
Michael Beasley,SF,2,,1,,NYK,27,28,28,28,1,1,2017,2017,1,1,"$2,116,955.00","$2,116,955.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,2.14%,1.77%,1.69%,,20,56,38,47,18.1,16.6786,17.3893,17.03395,800.59565,28.620%,24.177%,26.399%,25.288%,-1.78395,-2.05454,-1.919245,-1.9868925,-0.5118608907,-0.4118608907,-0.27059,-1.29438,,,,,0.290037,0.57403,0.4320335,0.50303175,-0.6510388324,-0.5510388324,0.283993,1.87787,,,,
Anthony Morrow,SG,1,1,,,POR,31,32,32,32,1,3,2017,2017,1,1,"$2,116,955.00","$2,116,955.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,2.14%,1.77%,1.69%,,68,49,58.5,53.75,13.6176,14.5714,14.0945,14.33295,770.3960625,16.613%,15.702%,16.157%,15.930%,-2.1144,-1.47759,-1.795995,-1.6367925,-0.3647089878,-0.6647089878,0.63681,,,,,,0.530995,0.721251,0.626123,0.673687,-0.598644142,-0.898644142,0.190256,,,,,
Aaron Brooks,PG,1,1,,,MIN,31,32,32,32,1,3,2017,2017,1,1,"$2,116,955.00","$2,116,955.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,2.14%,1.77%,1.69%,,69,65,67,66,16.0435,13.7385,14.891,14.31475,944.7735,22.833%,18.481%,20.657%,19.569%,-1.09204,-2.65065,-1.871345,-2.2609975,-0.6270710373,-0.9270710373,-1.55861,-4.09414,,,,,1.41172,0.183518,0.797619,0.4905685,-0.6548653079,-0.9548653079,-1.228202,-0.148677,,,,
Omri Casspi,SF,2,,1,,GSW,28,29,29,29,1,0,2017,2017,1,1,"$2,106,470.00","$2,106,470.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,2.13%,1.77%,1.68%,,69,36,52.5,44.25,27.2464,17.8333,22.53985,20.186575,893.2559438,17.436%,13.816%,15.626%,14.721%,-0.724054,-3.92597,-2.325012,-3.125491,-0.9904296877,-0.9904296877,-3.201916,-2.57708,,,,,2.87132,-0.429914,1.220703,0.3953945,-0.6840856939,-0.6840856939,-3.301234,0.189699,,,,
Mario Chalmers,PG,1,1,,,MEM,30,31,31,31,1,2,2017,2017,1,1,"$2,106,470.00","$2,106,470.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,2.13%,1.77%,1.68%,,61,,61,61,22.4918,,22.4918,22.4918,1371.9998,21.114%,,21.114%,21.114%,2.00234,,2.00234,2.00234,1.164869053,0.964869053,,-0.945717,,,,,4.66349,,4.66349,4.66349,0.6263078781,0.4263078781,,1.95424,,,,
Derrick Rose,PG,1,1,,,CLE,28,29,29,29,1,0,2017,2017,1,1,"$2,106,470.00","$2,106,470.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,2.13%,1.77%,1.68%,,66,64,65,64.5,31.7727,32.5156,32.14415,32.329875,2085.276938,26.680%,25.199%,25.940%,25.569%,-2.34275,-0.597332,-1.470041,-1.0336865,-0.1112151417,-0.1112151417,1.745418,-4.83752,,,,,0.873704,3.35984,2.116772,2.738306,0.03523658213,0.03523658213,2.486136,-0.542842,,,,
Josh Childress,SF,2,,1,,DEN,33,34,34,34,0,5,2017,2017,1,1,"$2,106,470.00","$2,106,470.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,2.13%,1.77%,1.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shawne Williams,SF,2,,1,,MIN,30,31,31,31,1,2,2017,2017,1,1,"$2,106,470.00","$2,106,470.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,2.13%,1.77%,1.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Cavanaugh,PF,2,,1,,ATL,22,23,24,23.5,0,5.5,2017,2018,2,1,"$2,058,161.00","$1,029,081.00",,0,,2017-2018.0,"$100,481,000.00","$121,499,500.00","$127,541,500.00",,1.02%,0.85%,0.81%,,,,,,,,,,,,,,,,,,,,,,-1.92743,,,,,,,,,,,,0.363671,,,,
Luke Babbitt,SF,2,,1,,ATL,27,28,28,28,1,1,2017,2017,1,1,"$1,974,159.00","$1,974,159.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.99%,1.66%,1.58%,,47,68,57.5,62.75,17.9787,15.6471,16.8129,16.23,1018.4325,16.785%,13.228%,15.007%,14.117%,-2.69391,-0.680446,-1.687178,-1.183812,-0.1743149789,-0.07431497887,2.013464,-2.45985,,,,,0.14846,1.6579,0.90318,1.28054,-0.4123277228,-0.3123277228,1.50944,0.240338,,,,
Jeremy Evans,SF,2,,1,,ATL,29,30,30,30,1,1,2017,2017,1,1,"$1,841,849.00","$1,841,849.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.86%,1.54%,1.47%,,30,,30,30,8.36667,,8.36667,8.36667,251.0001,10.825%,,10.825%,10.825%,-2.46656,,-2.46656,-2.46656,-0.7134718171,-0.8134718171,,,,,,,0.0833768,,0.0833768,0.0833768,-0.7798815795,-0.8798815795,,,,,,
Wade Baldwin,PG,1,1,,,POR,20,21,22,21.5,0,7.5,2017,2018,2,1,"$1,774,843.00","$887,422.00",,0,,2017-2018.0,"$100,481,000.00","$121,499,500.00","$127,541,500.00",,0.88%,0.73%,0.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Williams,SF,2,,1,,NYK,22,23,24,23.5,0,5.5,2017,2018,2,1,"$1,767,427.00","$883,714.00",,0,,2017-2018.0,"$100,481,000.00","$121,499,500.00","$127,541,500.00",,0.88%,0.73%,0.69%,,,30,30,30,,18.5333,18.5333,18.5333,555.999,,17.001%,17.001%,17.001%,,-1.39512,-1.39512,-1.39512,-0.2631306724,0.3368693276,,-1.76504,-3.00934,,,,,0.593728,0.593728,0.593728,-0.6231932083,-0.02319320833,,0.249722,-0.0126995,,,
Georgios Papagiannis,C,3,,,1,POR,19,20,21,20.5,0,8.5,2017,2018,2,1,"$1,730,348.00","$865,174.00",,0,,2017-2018.0,"$100,481,000.00","$121,499,500.00","$127,541,500.00",,0.86%,0.71%,0.68%,,,22,22,22,,16.1364,16.1364,16.1364,355.0008,,16.418%,16.418%,16.418%,,-4.43615,-4.43615,-4.43615,-1.541317908,-0.6413179078,,-7.31935,,,,,,-0.361943,-0.361943,-0.361943,-0.9166039662,-0.01660396619,,-0.364518,,,,
Mike Scott,PF,2,,1,,WAS,28,29,29,29,1,0,2017,2017,1,1,"$1,709,538.00","$1,709,538.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.73%,1.43%,1.36%,,75,18,46.5,32.25,15.2667,10.7778,13.02225,11.900025,383.7758063,17.154%,16.284%,16.719%,16.502%,-0.783093,-4.17272,-2.4779065,-3.32531325,-1.074417761,-1.074417761,-3.389627,-2.49107,,,,,1.70337,-0.163529,0.7699205,0.30319575,-0.7123926165,-0.7123926165,-1.866899,0.44274,,,,
MarShon Brooks,SG,1,1,,,MEM,27,28,29,28.5,1,0.5,2017,2018,2,1,"$1,707,763.00","$853,882.00",,0,,2017-2018.0,"$100,481,000.00","$121,499,500.00","$127,541,500.00",,0.85%,0.70%,0.67%,,,,,,,,,,,,,,,,,,,,,,-0.114692,-1.21731,,,,,,,,,,,0.374565,0.459724,,,
Tim Quarterman,PG,1,1,,,HOU,22,23,24,23.5,0,5.5,2017,2018,2,1,"$1,641,357.00","$820,679.00",,0,,2017-2018.0,"$100,481,000.00","$121,499,500.00","$127,541,500.00",,0.82%,0.68%,0.64%,,,16,16,16,,5,5,5,80,,22.162%,22.162%,22.162%,,-3.52365,-3.52365,-3.52365,-1.157781457,-0.5577814572,,,,,,,,-0.0314939,-0.0314939,-0.0314939,-0.8151492596,-0.2151492596,,,,,,
David Stockton,PG,1,1,,,UTA,25,26,27,26.5,1,2.5,2017,2018,2,1,"$1,589,446.00","$794,723.00",,0,,2017-2018.0,"$100,481,000.00","$121,499,500.00","$127,541,500.00",,0.79%,0.65%,0.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okaro White,PF,2,,1,,CLE,24,25,26,25.5,0,3.5,2017,2018,2,1,"$1,582,030.00","$791,015.00",,0,,2017-2018.0,"$100,481,000.00","$121,499,500.00","$127,541,500.00",,0.79%,0.65%,0.62%,,,35,35,35,,13.4571,13.4571,13.4571,470.9985,,10.758%,10.758%,10.758%,,-3.99904,-3.99904,-3.99904,-1.357594491,-0.9575944909,,-1.53261,,,,,,-0.339023,-0.339023,-0.339023,-0.9095670523,-0.5095670523,,0.0773461,,,,
Ian Clark,SG,1,1,,,NOP,25,26,26,26,1,3,2017,2017,1,1,"$1,577,230.00","$1,577,230.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.59%,1.32%,1.26%,,66,77,71.5,74.25,8.75758,14.7532,11.75539,13.254295,984.1314038,19.447%,19.250%,19.348%,19.299%,-4.92267,-2.79804,-3.860355,-3.3291975,-1.076050365,-0.776050365,2.12463,-2.52536,,,,,-0.782851,0.118477,-0.332187,-0.106855,-0.8382866756,-0.5382866756,0.901328,0.4237,,,,
Willie Reed,C,3,,,1,LAC,26,27,27,27,1,2,2017,2017,1,1,"$1,577,230.00","$1,577,230.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.59%,1.32%,1.26%,,39,71,55,63,10.8974,14.507,12.7022,13.6046,857.0898,17.828%,14.862%,16.345%,15.603%,-1.61926,-0.716392,-1.167826,-0.942109,-0.07272384384,0.1272761562,0.902868,0.402981,,,,,0.388511,1.57932,0.9839155,1.28161775,-0.4119968313,-0.2119968313,1.190809,0.984197,,,,
Christapher Johnson,SF,2,,1,,HOU,26,27,27,27,1,2,2017,2017,1,1,"$1,577,230.00","$1,577,230.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.59%,1.32%,1.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre Liggins,SG,1,1,,,MIA,28,29,29,29,1,0,2017,2017,1,1,"$1,577,230.00","$1,577,230.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.59%,1.32%,1.26%,,,62,62,62,,12.5161,12.5161,12.5161,775.9982,,11.242%,11.242%,11.242%,,-1.99201,-1.99201,-1.99201,-0.5140118471,-0.5140118471,,-4.50092,,,,,,0.510316,0.510316,0.510316,-0.6488024171,-0.6488024171,,-0.76978,,,,
Trey Burke,PG,1,1,,,NYK,24,25,25,25,0,4,2017,2017,1,1,"$1,577,230.00","$1,577,230.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.59%,1.32%,1.26%,,64,57,60.5,58.75,21.3281,12.3158,16.82195,14.568875,855.9214063,23.961%,20.051%,22.006%,21.029%,-1.92697,-4.17623,-3.0516,-3.613915,-1.195721093,-0.795721093,-2.24926,1.61396,,,,,0.958541,-0.591156,0.1836925,-0.20373175,-0.868029841,-0.468029841,-1.549697,2.45656,,,,
Quinn Cook,PG,1,1,,,GSW,23,24,25,24.5,0,4.5,2017,2018,2,1,"$1,559,783.00","$779,892.00",,0,,2017-2018.0,"$100,481,000.00","$121,499,500.00","$127,541,500.00",,0.78%,0.64%,0.61%,,,14,14,14,,13.3571,13.3571,13.3571,186.9994,,19.332%,19.332%,19.332%,,-2.57477,-2.57477,-2.57477,-0.7589539863,-0.2589539863,,-3.72229,-4.39169,,,,,0.0482494,0.0482494,0.0482494,-0.7906664176,-0.2906664176,,-0.392305,-1.04725,,,
Bobby Brown,PG,1,1,,,HOU,32,33,33,33,1,4,2017,2017,1,1,"$1,524,305.00","$1,524,305.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.54%,1.28%,1.22%,,,25,25,25,,4.92,4.92,4.92,123,,21.854%,21.854%,21.854%,,-3.31408,-3.31408,-3.31408,-1.069696269,-1.469696269,,-5.8527,,,,,,-0.0307276,-0.0307276,-0.0307276,-0.8149139897,-1.21491399,,-0.228853,,,,
Shane Larkin,PG,1,1,,,BOS,24,25,25,25,0,4,2017,2017,1,1,"$1,524,305.00","$1,524,305.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.54%,1.28%,1.22%,,78,,78,78,22.4359,,22.4359,22.4359,1750.0002,17.199%,,17.199%,17.199%,-0.969143,,-0.969143,-0.969143,-0.08408661031,0.3159133897,,-1.81952,,,,,2.3787,,2.3787,2.3787,-0.07516989561,0.3248301044,,0.600766,,,,
K.J. McDaniels,SG,1,1,,,TOR,23,24,24,24,0,5,2017,2017,1,1,"$1,524,305.00","$1,524,305.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.54%,1.28%,1.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julyan Stone,PG,1,1,,,CHA,28,29,30,29.5,1,0.5,2017,2018,2,1,"$1,524,305.00","$762,153.00",,0,,2017-2018.0,"$100,481,000.00","$121,499,500.00","$127,541,500.00",,0.76%,0.63%,0.60%,,,,,,,,,,,,,,,,,,,,,,-3.25532,,,,,,,,,,,,-0.0366,,,,
Damjan Rudez,SF,2,,1,,ORL,30,31,31,31,1,2,2017,2017,1,1,"$1,524,305.00","$1,524,305.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.54%,1.28%,1.22%,,33,45,39,42,8.39394,6.95556,7.67475,7.315155,307.23651,12.382%,13.324%,12.853%,13.089%,-3.99982,-4.81273,-4.406275,-4.6095025,-1.614180376,-1.814180376,-0.81291,,,,,,-0.199698,-0.400672,-0.300185,-0.3504285,-0.9130687766,-1.113068777,-0.200974,,,,,
Shaquille Harrison,PG,1,1,,,PHX,23,24,25,24.5,0,4.5,2017,2018,2,1,"$1,516,482.00","$758,241.00",,0,,2017-2018.0,"$100,481,000.00","$121,499,500.00","$127,541,500.00",,0.75%,0.62%,0.59%,,,,,,,,,,,,,,,,,,,,,,0.283188,-2.13097,,,,,,,,,,,0.852704,0.803433,,,
Isaiah Canaan,PG,1,1,,,HOU,25,26,26,26,1,3,2017,2017,1,1,"$1,514,854.00","$1,514,854.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.53%,1.27%,1.21%,,77,39,58,48.5,25.5325,15.1795,20.356,17.76775,861.735875,18.968%,15.305%,17.137%,16.221%,-2.37403,-2.98829,-2.68116,-2.834725,-0.8682166909,-0.5682166909,-0.61426,-0.660391,,,,,0.776822,-0.0155521,0.38063495,0.182541425,-0.7494359891,-0.4494359891,-0.7923741,0.662355,,,,
Jaylen Morris,G,1,1,,,ATL,21,22,23,22.5,0,6.5,2017,2018,2,1,"$1,479,618.00","$739,809.00",,0,,2017-2018.0,"$100,481,000.00","$121,499,500.00","$127,541,500.00",,0.74%,0.61%,0.58%,,,,,,,,,,,,,,,,,,,,,,-4.85524,,,,,,,,,,,,-0.128713,,,,
Vander Blue,SG,1,1,,,LAL,24,25,25,25,0,4,2017,2017,1,1,"$1,471,382.00","$1,471,382.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.48%,1.23%,1.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briante Weber,PG,1,1,,,LAL,24,25,25,25,0,4,2017,2017,1,1,"$1,471,382.00","$1,471,382.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.48%,1.23%,1.17%,,7,20,13.5,16.75,24,10.25,17.125,13.6875,229.265625,11.848%,16.411%,14.130%,15.271%,-2.63632,-3.58237,-3.109345,-3.3458575,-1.083052795,-0.6830527949,-0.94605,-6.79213,,,,,0.036286,-0.0890138,-0.0263639,-0.05768885,-0.8231916509,-0.4231916509,-0.1252998,-0.623365,,,,
Maalik Wayns,PG,1,1,,,DAL,25,26,26,26,1,3,2017,2017,1,1,"$1,471,382.00","$1,471,382.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.48%,1.23%,1.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mickey,PF,2,,1,,MIA,22,23,23,23,0,6,2017,2017,1,1,"$1,471,382.00","$1,471,382.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.48%,1.23%,1.17%,,16,25,20.5,22.75,3.5625,5.6,4.58125,5.090625,115.8117188,18.493%,14.671%,16.582%,15.626%,-4.10041,-5.81401,-4.95721,-5.38561,-1.940389161,-1.340389161,-1.7136,-3.01073,,,,,-0.0451264,-0.276949,-0.1610377,-0.21899335,-0.8727154678,-0.2727154678,-0.2318226,-0.0118333,,,,
Rodney Purvis,G,1,1,,,ORL,22,23,24,23.5,0,5.5,2017,2018,2,1,"$1,447,362.00","$723,681.00",,0,,2017-2018.0,"$100,481,000.00","$121,499,500.00","$127,541,500.00",,0.72%,0.60%,0.57%,,,,,,,,,,,,,,,,,,,,,,-4.99517,,,,,,,,,,,,-0.406314,,,,
Nigel Hayes,PF,2,,1,,SAC,22,23,24,23.5,0,5.5,2017,2018,2,1,"$1,433,538.00","$716,769.00",,0,,2017-2018.0,"$100,481,000.00","$121,499,500.00","$127,541,500.00",,0.71%,0.59%,0.56%,,,,,,,,,,,,,,,,,,,,,,-5.17614,,,,,,,,,,,,-0.186558,,,,
Omari Johnson,SF,2,,1,,MEM,27,28,29,28.5,1,0.5,2017,2018,2,1,"$1,405,890.00","$702,945.00",,0,,2017-2018.0,"$100,481,000.00","$121,499,500.00","$127,541,500.00",,0.70%,0.58%,0.55%,,,,,,,,,,,,,,,,,,,,,,-3.6719,,,,,,,,,,,,-0.03719,,,,
Aaron Jackson,G,1,1,,,HOU,30,31,32,31.5,1,2.5,2017,2018,2,1,"$1,382,850.00","$691,425.00",,0,,2017-2018.0,"$100,481,000.00","$121,499,500.00","$127,541,500.00",,0.69%,0.57%,0.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Green,SG,1,1,,,HOU,30,31,31,31,1,2,2017,2017,1,1,"$1,381,404.00","$1,381,404.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.39%,1.16%,1.10%,,69,47,58,52.5,22.5652,11.4255,16.99535,14.210425,746.0473125,19.166%,22.504%,20.835%,21.669%,-1.49089,-3.08474,-2.287815,-2.6862775,-0.8058221405,-1.005822141,-1.59385,-2.32554,,,,,1.55862,-0.0497172,0.7544514,0.3523671,-0.6972959954,-0.8972959954,-1.6083372,0.398015,,,,
Stephen Zimmerman,C,3,,,1,LAL,20,21,21,21,0,8,2017,2017,1,1,"$1,312,611.00","$1,312,611.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.32%,1.10%,1.05%,,,19,19,19,,5.63158,5.63158,5.63158,107.00002,,14.286%,14.286%,14.286%,,-5.93804,-5.93804,-5.93804,-2.172583179,-1.372583179,,,,,,,,-0.220858,-0.220858,-0.220858,-0.8732879539,-0.07328795391,,,,,,
Georges Niang,PF,2,,1,,GSW,23,24,24,24,0,5,2017,2017,1,1,"$1,312,611.00","$1,312,611.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.32%,1.10%,1.05%,,,23,23,23,,4,4,4,92,,18.421%,18.421%,18.421%,,-5.89755,-5.89755,-5.89755,-2.155564668,-1.655564668,,,,,,,,-0.187502,-0.187502,-0.187502,-0.8630469722,-0.3630469722,,,,,,
Marshall Plumlee,PF,2,,1,,LAC,24,25,25,25,0,4,2017,2017,1,1,"$1,312,611.00","$1,312,611.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.32%,1.10%,1.05%,,,21,21,21,,8.09524,8.09524,8.09524,170.00004,,12.189%,12.189%,12.189%,,-4.05366,-4.05366,-4.05366,-1.380552037,-0.9805520371,,-1.59131,,,,,,-0.128843,-0.128843,-0.128843,-0.8450374463,-0.4450374463,,0.048248,,,,
Larry Drew II,PG,1,1,,,MIA,26,27,27,27,1,2,2017,2017,1,1,"$1,312,611.00","$1,312,611.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.32%,1.10%,1.05%,,,,,,,,,,,,,,,,,,,,,,-3.96573,,,,,,,,,,,,-0.0488085,,,,
Carrick Felix,SG,1,1,,,WAS,26,27,27,27,1,2,2017,2017,1,1,"$1,312,611.00","$1,312,611.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.32%,1.10%,1.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Georges-Hunt,SG,1,1,,,MIN,22,23,23,23,0,6,2017,2017,1,1,"$1,312,611.00","$1,312,611.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.32%,1.10%,1.05%,,,,,,,,,,,,,,,,,,,,,,-2.82944,,,,,,,,,,,,0.0185361,,,,
Jarrod Uthoff,SF,2,,1,,IND,23,24,24,24,0,5,2017,2017,1,1,"$1,312,611.00","$1,312,611.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.32%,1.10%,1.05%,,,9,9,9,,12.6667,12.6667,12.6667,114.0003,,16.479%,16.479%,16.479%,,-3.4464,-3.4464,-3.4464,-1.125312207,-0.625312207,,,,,,,,-0.0390745,-0.0390745,-0.0390745,-0.8174766606,-0.3174766606,,,,,,
Danuel House Jr.,SF,2,,1,,HOU,23,24,24,24,0,5,2017,2017,1,1,"$1,312,611.00","$1,312,611.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.32%,1.10%,1.05%,,,,,,,,,,,,,,,,,,,,,,-1.5,,,,,,,,,,,,0.4,,,,
Isaiah Canaan,PG,1,1,,,PHX,25,26,26,26,1,3,2017,2017,1,1,"$1,069,308.00","$1,069,308.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,1.08%,0.90%,0.85%,,77,39,58,48.5,25.5325,15.1795,20.356,17.76775,861.735875,18.968%,15.305%,17.137%,16.221%,-2.37403,-2.98829,-2.68116,-2.834725,-0.8682166909,-0.5682166909,-0.61426,-0.660391,,,,,0.776822,-0.0155521,0.38063495,0.182541425,-0.7494359891,-0.4494359891,-0.7923741,0.662355,,,,
Sean Kilpatrick,SG,1,1,,,MIL,26,27,27,27,1,2,2017,2017,1,1,"$818,130.00","$818,130.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,0.83%,0.69%,0.65%,,31,70,50.5,60.25,19.871,25.0429,22.45695,23.749925,1430.932981,22.427%,23.110%,22.768%,22.939%,-3.86043,-2.58786,-3.224145,-2.9060025,-0.8981756163,-0.6981756163,1.27257,-3.83377,,,,,-0.384848,0.435615,0.0253835,0.23049925,-0.7347119452,-0.5347119452,0.820463,-0.388027,,,,
V.J. Beachem,SF,2,,1,,LAL,21,22,22,22,0,7,2017,2017,1,1,"$815,615.00","$815,615.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,0.82%,0.68%,0.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigel Hayes,PF,2,,1,,NYK,22,23,23,23,0,6,2017,2017,1,1,"$815,615.00","$815,615.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,0.82%,0.68%,0.65%,,,,,,,,,,,,,,,,,,,,,,-5.17614,,,,,,,,,,,,-0.186558,,,,
Jamel Artis,SF,2,,1,,NYK,23,24,24,24,0,5,2017,2017,1,1,"$815,615.00","$815,615.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,0.82%,0.68%,0.65%,,,,,,,,,,,,,,,,,,,,,,-6.27248,,,,,,,,,,,,-0.63588,,,,
JeQuan Lewis,G,1,1,,,MIL,21,22,22,22,0,7,2017,2017,1,1,"$815,615.00","$815,615.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,0.82%,0.68%,0.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Ashley,PF,2,,1,,DAL,22,23,23,23,0,6,2017,2017,1,1,"$815,615.00","$815,615.00",,0,,2017-2017.0,"$99,093,000.00","$119,266,000.00","$125,266,000.00",,0.82%,0.68%,0.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
